Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM,Year,MOM_Won
0,2.0,2,0,0,0.0,4,caught,2,v Australia,Pune,2017-02-23,India,Test,No,2017,0
13,33.0,37,1,0,35.13,4,bowled,4,v Australia,Pune,2017-02-23,India,Test,No,2017,0
12,25.0,17,2,0,70.58,4,lbw,1,v Australia,Bengaluru,2017-04-03,India,Test,No,2017,0
15,34.0,25,1,0,60.0,4,lbw,3,v Australia,Bengaluru,2017-04-03,India,Test,No,2017,0
6,38.0,23,0,0,26.08,4,caught,2,v Australia,Ranchi,2017-03-16,India,Test,No,2017,0
3,15.0,8,0,0,37.5,4,caught,1,v Sri Lanka,Galle,2017-07-26,Sri Lanka,Test,No,2017,0
103,158.0,136,5,1,75.73,4,not out,3,v Sri Lanka,Galle,2017-07-26,Sri Lanka,Test,Yes,2017,1
13,31.0,29,2,0,44.82,4,caught,1,v Sri Lanka,Colombo (SSC),2017-03-08,Sri Lanka,Test,No,2017,0
42,119.0,84,3,0,50.0,4,caught,1,v Sri Lanka,Pallekele,2017-12-08,Sri Lanka,Test,No,2017,0
0,18.0,11,0,0,0.0,4,lbw,1,v Sri Lanka,Eden Gardens,2017-11-16,India,Test,No,2017,0
104,208.0,119,12,2,87.39,4,not out,3,v Sri Lanka,Eden Gardens,2017-11-16,India,Test,Yes,2017,1
213,386.0,267,17,2,79.77,4,caught,2,v Sri Lanka,Nagpur,2017-11-24,India,Test,Yes,2017,1
243,447.0,287,25,0,84.66,4,lbw,1,v Sri Lanka,Delhi,2017-02-12,India,Test,Yes,2017,1
50,89.0,58,3,0,86.2,5,caught,3,v Sri Lanka,Delhi,2017-02-12,India,Test,No,2017,0
5,14.0,13,0,0,38.46,4,caught,2,v South Africa,Cape Town,2018-05-01,South Africa,Test,No,2018,0
28,62.0,40,4,0,70.0,4,lbw,4,v South Africa,Cape Town,2018-05-01,South Africa,Test,No,2018,0
153,379.0,217,15,0,70.5,4,caught,2,v South Africa,Centurion,2018-01-13,South Africa,Test,Yes,2018,1
5,22.0,20,1,0,25.0,4,lbw,4,v South Africa,Centurion,2018-01-13,South Africa,Test,No,2018,0
54,146.0,106,9,0,50.94,4,caught,1,v South Africa,Johannesburg,2018-01-24,South Africa,Test,No,2018,0
41,131.0,79,6,0,51.89,5,bowled,3,v South Africa,Johannesburg,2018-01-24,South Africa,Test,No,2018,0
149,277.0,225,22,1,66.22,4,caught,2,v England,Birmingham,2018-01-08,England,Test,Yes,2018,1
51,185.0,93,4,0,54.83,4,lbw,4,v England,Birmingham,2018-01-08,England,Test,No,2018,0
23,73.0,57,2,0,40.35,4,caught,1,v England,Lord's,2018-09-08,England,Test,No,2018,0
17,57.0,29,2,0,58.62,5,caught,3,v England,Lord's,2018-09-08,England,Test,No,2018,0
97,243.0,152,11,0,63.81,4,caught,1,v England,Nottingham,2018-08-18,England,Test,No,2018,0
103,292.0,197,10,0,52.28,4,lbw,3,v England,Nottingham,2018-08-18,England,Test,Yes,2018,1
46,100.0,71,6,0,64.78,4,caught,2,v England,Southampton,2018-08-30,England,Test,No,2018,0
58,170.0,130,4,0,44.61,4,caught,4,v England,Southampton,2018-08-30,England,Test,No,2018,0
49,112.0,70,6,0,70.0,4,caught,2,v England,The Oval,2018-07-09,England,Test,No,2018,0
0,3.0,1,0,0,0.0,4,caught,4,v England,The Oval,2018-07-09,England,Test,No,2018,0
139,341.0,230,10,0,60.43,4,caught,1,v West Indies,Rajkot,2018-04-10,India,Test,Yes,2018,1
